sale_line_id,sale_date,store_id,product_id,quantity,unit_price,promotion_code,payment_method,source_branch,product_name,category,store_name,city,region,discount_pct,campaign_name,start_date,end_date,gross_sales,discount_amount,net_sales,month,week,day_name,sales_target
L00001,2026-04-04,S01,P010,1,115000,,Card,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,115000,0.0,115000.0,2026-04,14,Saturday,21500000
L00002,2026-02-08,S01,P012,1,35000,,Cash,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,35000,0.0,35000.0,2026-02,6,Sunday,19500000
L00003,2026-04-04,S01,P003,3,175000,,Cash,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,525000,0.0,525000.0,2026-04,14,Saturday,21500000
L00004,2026-03-29,S01,P001,1,145000,,Cash,Cali,Coffee Maker Basic,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,145000,0.0,145000.0,2026-03,13,Sunday,20500000
L00005,2026-02-27,S01,P004,1,390000,,Cash,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,390000,0.0,390000.0,2026-02,9,Friday,19500000
L00006,2026-04-04,S01,P005,2,220000,,Card,Cali,Wireless Headphones,Electronics,Cali Norte,Cali,Southwest,0.0,,,,440000,0.0,440000.0,2026-04,14,Saturday,21500000
L00007,2026-03-27,S01,P003,2,175000,,Transfer,Cali,Blender 500W,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,350000,0.0,350000.0,2026-03,13,Friday,20500000
L00008,2026-04-27,S01,P007,2,310000,PROMO10B,Cash,Cali,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.1,Wearables Week,2026-04-10,2026-04-30,620000,62000.0,558000.0,2026-04,18,Monday,21500000
L00009,2026-02-20,S01,P008,1,78000,,Cash,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,78000,0.0,78000.0,2026-02,8,Friday,19500000
L00010,2026-04-06,S01,P008,2,78000,,Card,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,156000,0.0,156000.0,2026-04,15,Monday,21500000
L00012,2026-02-03,S01,P010,3,115000,,Transfer,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,345000,0.0,345000.0,2026-02,6,Tuesday,19500000
L00013,2026-04-20,S01,P012,1,35000,,Cash,Cali,Notebook Pack,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,35000,0.0,35000.0,2026-04,17,Monday,21500000
L00014,2026-02-17,S01,P007,1,310000,,Transfer,Cali,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.0,,,,310000,0.0,310000.0,2026-02,8,Tuesday,19500000
L00015,2026-02-16,S01,P014,2,198000,,Cash,Cali,Electric Shaver,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,396000,0.0,396000.0,2026-02,8,Monday,19500000
L00016,2026-04-03,S01,P011,1,138000,,Transfer,Cali,Keyboard Compact,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,138000,0.0,138000.0,2026-04,14,Friday,21500000
L00017,2026-04-20,S01,P010,1,115000,,Transfer,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,115000,0.0,115000.0,2026-04,17,Monday,21500000
L00018,2026-03-28,S01,P007,2,310000,,Card,Cali,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.0,,,,620000,0.0,620000.0,2026-03,13,Saturday,20500000
L00019,2026-02-28,S01,P013,1,135000,,Cash,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,135000,0.0,135000.0,2026-02,9,Saturday,19500000
L00020,2026-03-22,S01,P013,1,135000,,Transfer,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,135000,0.0,135000.0,2026-03,12,Sunday,20500000
L00021,2026-02-08,S01,P010,1,115000,,Card,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,115000,0.0,115000.0,2026-02,6,Sunday,19500000
L00022,2026-04-03,S01,P004,1,390000,,Card,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,390000,0.0,390000.0,2026-04,14,Friday,21500000
L00023,2026-04-07,S01,P010,2,115000,,Cash,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,230000,0.0,230000.0,2026-04,15,Tuesday,21500000
L00024,2026-03-12,S01,P004,1,390000,,Transfer,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,390000,0.0,390000.0,2026-03,11,Thursday,20500000
L00025,2026-04-02,S01,P013,2,135000,,Cash,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,270000,0.0,270000.0,2026-04,14,Thursday,21500000
L00026,2026-04-30,S01,P004,2,390000,,Transfer,Cali,Air Fryer 4L,Small Appliances,Cali Norte,Cali,Southwest,0.0,,,,780000,0.0,780000.0,2026-04,18,Thursday,21500000
L00027,2026-02-10,S01,P008,1,78000,,Cash,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,78000,0.0,78000.0,2026-02,7,Tuesday,19500000
L00028,2026-04-24,S01,P008,1,78000,,Transfer,Cali,USB-C Charger,Electronics,Cali Norte,Cali,Southwest,0.0,,,,78000,0.0,78000.0,2026-04,17,Friday,21500000
L00029,2026-03-01,S01,P013,2,135000,,Card,Cali,Hair Dryer,Personal Care,Cali Norte,Cali,Southwest,0.0,,,,270000,0.0,270000.0,2026-03,9,Sunday,20500000
L00030,2026-03-28,S01,P007,1,310000,,Card,Cali,Smartwatch Active,Electronics,Cali Norte,Cali,Southwest,0.0,,,,310000,0.0,310000.0,2026-03,13,Saturday,20500000
L00031,2026-02-12,S01,P010,3,115000,,Card,Cali,Ergonomic Mouse,Home & Office,Cali Norte,Cali,Southwest,0.0,,,,345000,0.0,345000.0,2026-02,7,Thursday,19500000
